email,senha,tipo
Admin,123,SECRETARIA
Gerente,123,GERENTE_FINANCEIRO
professor@,123,PROFESSOR
gleison@gmail.com,12345,PROFESSOR
paulo@gmail,123456,PROFESSOR
joao@gmail,12345,PROFESSOR
ana_silva@gmail,54321,ALUNO
joao.santos@gmail,98765,ALUNO
mariana.oliveira@gmail,56789,ALUNO
rafael.mendes@gmail,13579,ALUNO
bruna.ferreira@gmail,24680,ALUNO
lucas.rodrigues@gmail,11223,ALUNO
juliana.martins@gmail,33221,ALUNO
pedro.almeida@gmail,44556,ALUNO
camila.lima@gmail,77889,ALUNO
marcos.souza@gmail,99000,ALUNO
luana.costa@gmail,22334,ALUNO
felipe.andrade@gmail,55667,ALUNO
